"stream","date","time","count","run","adipose_clipped","sex","passage_direction","viewing_condition","spawning_condition","jack_size","method"
"clear creek","2012-12-29","12:00:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","12:38:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","12:43:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","13:49:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","14:15:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","14:50:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","14:54:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","15:26:00",1,"not recorded",FALSE,"male","down",NA,NA,"yes","video"
"clear creek","2012-12-29","15:45:00",1,"not recorded",FALSE,"unknown","down",NA,NA,"no","video"
"clear creek","2012-12-29","15:53:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","15:57:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","17:05:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","17:46:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","18:20:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","18:36:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","19:00:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","19:28:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","20:20:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","21:01:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-29","23:06:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
