date,redd_id,reach,fish_on_redd,age,run,redd_measured,redd_width,redd_length,pre_redd_depth,redd_pit_depth,redd_tail_depth,pre_redd_substrate_class,redd_substrate_class,tail_substrate_class,velocity
2007-09-27,2007_793,R5,FALSE,2,spring,TRUE,1.9304038608077216,2.61333907556682,0.40640081280162565,0.46990093980187964,0.2921005842011684,NA,NA,NA,1.62925
2007-09-27,2007_794,R5,FALSE,2,spring,TRUE,1.1684023368046736,2.2143560105947873,0.7366014732029464,0.7112014224028449,0.6096012192024385,very coarse sand,very fine gravel,very coarse sand,2.034375
2007-09-27,2007_795,R5,TRUE,2,spring,TRUE,3.1750063500127004,6.26403412006093,0.40640081280162565,0.5842011684023368,0.30480060960121924,very fine gravel,very fine gravel,very fine gravel,2.3275
2007-09-27,2007_796,R5,TRUE,2,spring,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-10-20,2008_834,R1,FALSE,3,spring,TRUE,1.4478028956057913,1.5748031496062993,0.5334010668021336,0.6604013208026417,0.40640081280162565,very coarse sand,very coarse sand,very coarse sand,2.086875
2008-10-20,2008_835,R1,FALSE,2,spring,TRUE,2.1844043688087376,4.673609347218695,0.38100076200152405,0.63500127000254,0.5334010668021336,very coarse sand,very coarse sand,very coarse sand,3.8351249999999997
2008-09-09,2008_836,R1,FALSE,2,spring,TRUE,3.0480060960121924,7.1120142240284485,0.5080010160020321,0.6604013208026417,0.17780035560071122,very coarse sand,very coarse sand,very coarse sand,1.9879999999999998
2008-09-23,2008_837,R1,TRUE,2,spring,TRUE,1.854203708407417,6.1468122936245875,0.5588011176022353,0.6604013208026417,0.33020066040132084,very fine gravel,very fine gravel,very coarse sand,2.436
2008-10-07,2008_838,R1,TRUE,2,spring,TRUE,2.794005588011176,5.181610363220726,0.33020066040132084,0.4826009652019304,0.27940055880111764,very fine gravel,very fine gravel,very coarse sand,1.6581249999999998
2008-09-23,2008_839,R1,TRUE,2,spring,TRUE,3.2258064516129035,4.59740919481839,0.7620015240030481,0.9398018796037593,0.4826009652019304,coarse sand,very coarse sand,very coarse sand,1.521625
2008-09-23,2008_840,R1,FALSE,2,spring,TRUE,1.6002032004064008,3.0734061468122937,0.5080010160020321,0.7366014732029464,0.4572009144018288,very fine gravel,very fine gravel,very coarse sand,3.8884999999999996
2008-09-23,2008_841,R1,FALSE,2,spring,TRUE,3.4290068580137163,7.62001524003048,0.6096012192024385,0.6858013716027432,0.4572009144018288,coarse sand,coarse sand,very coarse sand,2.884
2008-09-23,2008_842,R1,FALSE,2,spring,TRUE,2.7686055372110747,3.96240792481585,0.6096012192024385,0.6604013208026417,0.35560071120142245,fine gravel,very coarse sand,very coarse sand,2.48325
2008-09-23,2008_843,R1,FALSE,2,spring,TRUE,2.1844043688087376,4.267208534417069,0.5588011176022353,0.8128016256032513,0.27940055880111764,fine gravel,very coarse sand,very coarse sand,2.7544999999999997
2008-09-09,2008_844,R1,FALSE,2,spring,TRUE,1.6510033020066042,5.537211074422149,0.6858013716027432,0.7620015240030481,0.25400050800101603,coarse sand,very coarse sand,very coarse sand,NA
2008-10-07,2008_845,R1,TRUE,2,spring,TRUE,2.235204470408941,6.096012192024385,0.40640081280162565,0.4572009144018288,0.33020066040132084,very coarse sand,very coarse sand,very coarse sand,2.10875
2008-09-23,2008_846,R1,FALSE,2,spring,TRUE,1.9558039116078234,3.759207518415037,0.4826009652019304,0.6858013716027432,0.5588011176022353,very coarse sand,very coarse sand,very coarse sand,4.4415
2008-10-07,2008_847,R1,FALSE,2,spring,TRUE,2.4638049276098553,4.0640081280162565,0.25400050800101603,0.4572009144018288,0.20320040640081283,very coarse sand,very coarse sand,very coarse sand,2.928625
2008-09-09,2008_848,R2,FALSE,2,spring,TRUE,1.7780035560071121,6.045212090424181,0.8128016256032513,0.9398018796037593,0.5842011684023368,very fine gravel,very fine gravel,very coarse sand,2.235
2008-09-23,2008_849,R2,FALSE,2,spring,FALSE,NA,NA,NA,NA,NA,very fine gravel,very coarse sand,very coarse sand,NA
2008-09-23,2008_850,R2,FALSE,2,spring,TRUE,4.394208788417577,9.144018288036577,0.7112014224028449,0.7874015748031497,0.27940055880111764,very fine gravel,fine gravel,very fine gravel,2.5506249999999997
2008-09-23,2008_851,R2,FALSE,2,spring,FALSE,NA,NA,NA,NA,NA,very coarse sand,very coarse sand,very coarse sand,NA
2008-09-09,2008_852,R2,FALSE,2,spring,TRUE,2.438404876809754,5.334010668021336,0.5588011176022353,0.5588011176022353,0.27940055880111764,very fine gravel,very fine gravel,very coarse sand,1.59775
