date,reach
2021-07-02,R6A
2021-07-02,R6B
2021-07-02,R7
2021-08-24,R1
2021-08-25,R4
2021-08-25,R5
2021-08-25,R2
2021-08-25,R3
2021-09-07,R1
2021-09-17,R2
2021-09-18,R1
2021-09-19,R3
2021-09-21,R5
2021-09-21,R4
2021-09-22,R6A
2021-09-23,R6A
2021-09-23,R4
2021-09-24,R7
2021-10-04,R1
2021-10-06,R2
2021-10-07,R4
2021-10-07,R3
2021-10-08,R5
2021-10-25,R1
2021-10-27,R3
2021-10-27,R2
2021-10-28,R4
2021-10-29,R5
2022-05-09,R1
2022-05-10,R2
2022-05-11,R3
2022-05-12,R4
2022-05-13,R6A
2022-05-13,R6B
2022-05-13,R7
2022-06-13,R1
2022-06-14,R2
2022-06-15,R3
2022-06-16,R4
2022-06-17,R6A
2022-06-17,R6
2022-06-27,R1
2022-06-27,R2
2022-06-28,R3
2022-06-29,R4
2022-06-30,R6A
2022-07-01,R6B
2022-07-01,R7
2022-08-29,R1
2022-08-30,R2
2022-08-31,R3
2022-09-01,R4
2022-09-01,R6A
2022-09-02,R6B
2022-09-02,R7
2022-09-19,R1
2022-09-20,R2
2022-09-21,R3
2022-09-26,R4
2022-09-27,R6A
2022-09-28,R6A
2022-10-03,R1
2022-10-04,R2
2022-10-06,R4
2022-10-07,R3
2022-10-24,R1
2022-10-25,R2
2022-10-26,R3
2022-10-27,R4
2023-04-24,R1
2023-04-25,R2
2023-04-26,R3
2023-04-27,R4
2023-04-27,R5
2023-05-01,R6A
2023-05-03,R6B
2023-05-03,R7
2023-05-15,R1
2023-05-16,R2
2023-05-16,R3
2023-05-17,R4
2023-05-17,R5
2023-05-18,R6A
2023-05-19,R6B
2023-05-19,R7
2023-06-05,R1
2023-06-06,R3
2023-06-06,R2
2023-06-07,R4
2023-06-07,R5
2023-06-08,R6A
2023-06-09,R6B
2023-06-09,R7
2023-06-13,R6B
2023-06-13,R7
2023-06-26,R1
2023-06-27,R2
2023-06-27,R3
2023-06-28,R6A
2023-06-27,R3
2023-06-28,R4
2023-06-28,R5
2023-06-29,R6B
2023-06-29,R7
2023-08-28,R1
2023-09-05,R2
2023-09-05,R1
2023-09-06,R4
2023-09-06,R5
2023-09-06,R3
2023-09-07,R6A
2023-09-07,R6B
2023-09-07,R7
2023-09-18,R1
2023-09-19,R3
2023-09-19,R2
2023-09-20,R6A
2023-09-21,R4
2023-09-21,R5
2023-09-21,R6B
2023-09-21,R7
2023-10-02,R1
2023-10-03,R2
2023-10-03,R3
2023-10-04,R4
2023-10-05,R5
2023-10-23,R1
2023-10-24,R2
2023-10-24,R3
2023-10-25,R4
2023-10-26,R5
2024-05-06,R1
2024-05-06,R2
2024-05-07,R4
2024-05-07,R5
2024-05-07,R3
2024-05-08,R6A
2024-05-09,R6B
2024-05-09,R7
2024-05-28,R2
2024-05-28,R1
2024-05-29,R3
2024-05-29,R4
2024-05-29,R5
2024-05-30,R6A
2024-05-30,R6B
2024-05-30,R7
2024-06-04,R1
2024-06-04,R2
2024-06-05,R3
2024-06-06,R4
2024-06-06,R5
2024-06-06,R6A
2024-06-07,R6B
2024-06-07,R7
2024-06-26,R2
2024-06-26,R1
2024-06-27,R3
2024-06-27,R4
2024-06-27,R5
2024-06-28,R6A
2024-06-28,R6B
2024-06-28,R7
2024-08-19,R1
2024-08-19,R2
2024-08-20,R4
2024-08-20,R5
2024-08-20,R3
2024-08-21,R6B
2024-08-21,R7
2024-08-21,R6A
2024-09-10,R1
2024-09-10,R2
2024-09-11,R3
2024-09-11,R4
2024-09-11,R5
2024-09-12,R6A
2024-09-12,R6B
2024-09-12,R7
2024-09-23,R1
2024-09-23,R2
2024-09-24,R3
2024-09-25,R6B
2024-09-25,R7
2024-09-24,R4
2024-09-24,R5
2024-09-25,R6A
2024-10-07,R2
2024-10-07,R1
2024-10-08,R4
2024-10-08,R5
2024-10-08,R3
2024-10-21,R4
2024-10-21,R5
2024-10-24,R1
2024-10-24,R2
2024-10-25,R4
2024-10-25,R3
1999-05-06,R6
1999-05-13,R6
1999-05-21,R6
1999-05-27,R6
1999-06-03,R6
1999-06-08,R6
1999-06-15,R6
1999-06-22,R6
1999-06-29,R6
1999-07-06,R6
1999-07-13,R6
1999-07-13,R6
1999-07-20,R6
1999-07-21,R6
1999-07-28,R6
1999-08-04,R6
1999-08-11,R6
1999-08-17,R6
1999-08-24,R6
1999-08-30,R6
1999-09-09,R6
1999-09-13,R6
1999-09-21,R6
1999-09-29,R6
1999-12-07,R6
1999-08-19,R4
1999-08-19,R5
1999-08-25,R3
1999-08-30,R1
1999-09-02,R2
1999-09-23,R5
1999-10-19,R4
1999-10-19,R5
1999-11-02,R4
1999-11-03,R5
2000-02-18,R6
2000-03-13,R6
2000-04-24,R6
2000-05-03,R6
2000-05-10,R6
2000-05-17,R6
2000-05-25,R6
2000-05-31,R6
2000-06-15,R6
2000-06-29,R6
2000-07-13,R6
2000-08-16,R6
2000-09-21,R6
2000-10-11,R6
2000-12-12,R6
2000-04-26,R1
2000-04-27,R5
2000-05-01,R3
2000-05-02,R4
2000-06-05,R4
2000-06-05,R5
2000-06-06,R1
2000-06-07,R3
2000-06-08,R2
2000-07-07,R1
2000-07-10,R2
2000-07-11,R3
2000-07-12,R4
2000-07-12,R5
2000-07-31,R1
2000-08-02,R2
2000-08-03,R3
2000-08-04,R4
2000-08-04,R5
2000-08-28,R1
2000-08-29,R2
2000-08-30,R3
2000-08-31,R4
2000-08-31,R5
2000-09-25,R1
2000-09-26,R2
2000-09-27,R3
2000-09-28,R4
2000-09-28,R5
2000-10-13,R1
2000-10-16,R2
2000-10-17,R3
2000-10-18,R4
2000-10-18,R5
2000-11-21,R4
2000-11-21,R5
2000-12-19,R5
2001-01-17,R6
2001-03-08,R6
2001-04-27,R6
2001-05-10,R6
2001-05-25,R6
2001-06-07,R6
2001-06-22,R6
2001-07-09,R6
2001-07-20,R6
2001-08-17,R6
2001-09-13,R6
2001-09-28,R6
2001-01-31,R5
2001-02-23,R1
2001-02-27,R5
2001-03-27,R5
2001-04-23,R1
2001-04-24,R2
2001-04-25,R3
2001-04-26,R4
2001-04-26,R5
2001-05-21,R1
2001-05-22,R2
2001-05-23,R3
2001-05-24,R4
2001-05-24,R5
2001-06-18,R1
2001-06-19,R2
2001-06-20,R3
2001-06-21,R4
2001-06-21,R5
2001-07-16,R1
2001-07-17,R2
2001-07-18,R3
2001-07-19,R4
2001-07-19,R5
2001-08-13,R1
2001-08-14,R2
2001-08-15,R3
2001-08-16,R4
2001-08-16,R5
2001-09-24,R1
2001-09-25,R2
2001-09-26,R3
2001-09-27,R4
2001-09-27,R5
2001-10-22,R1
2001-10-23,R2
2001-10-24,R3
2001-10-25,R4
2001-10-26,R5
2001-11-13,R1
2001-11-14,R2
2001-11-15,R3
2001-11-16,R4
2001-11-16,R5
2001-12-19,R5
2002-01-07,R1
2002-01-18,R5
2002-01-24,R1
2002-02-12,R1
2002-02-14,R5
2002-03-12,R2
2002-03-13,R3
2002-03-14,R4
2002-04-22,R1
2002-04-23,R2
2002-04-24,R3
2002-04-25,R4
2002-04-25,R5
2002-04-26,R6
2002-05-13,R1
2002-05-14,R2
2002-05-15,R3
2002-05-16,R4
2002-05-16,R5
2002-05-17,R6
2002-06-17,R1
2002-06-18,R2
2002-06-19,R3
2002-06-20,R4
2002-06-20,R5
2002-06-21,R6
2002-07-15,R1
2002-07-16,R2
2002-07-17,R3
2002-07-18,R4
2002-07-18,R5
2002-07-19,R6
2002-08-12,R1
2002-08-13,R2
2002-08-14,R3
2002-08-15,R4
2002-08-15,R5
2002-08-16,R6
2002-09-09,R1
2002-09-10,R2
2002-09-11,R3
2002-09-12,R4
2002-09-12,R5
2002-09-13,R6
2002-09-16,R1
2002-09-23,R1
2002-09-24,R2
2002-09-25,R3
2002-09-26,R4
2002-09-26,R5
2002-09-27,R6
2002-10-08,R1
2002-10-09,R2
2002-10-10,R3
2002-10-11,R4
2002-10-11,R5
2002-10-22,R1
2002-10-23,R2
2002-10-23,R3
2002-10-24,R4
2002-10-25,R5
2002-11-05,R1
2002-11-05,R2
2002-11-06,R3
2002-11-07,R4
2002-11-08,R5
2020-08-18,R1
2020-08-19,R2
2020-08-20,R3
2020-08-21,R4
2020-08-21,R5
2020-08-31,R6A
2020-10-06,R4
2020-10-06,R5
2020-10-26,R3
2020-10-27,R2
2020-10-28,R4
2020-10-28,R5
2020-10-30,R1
